"characters/characterName","characters/characterLink","characters/actorName","characters/actorLink","characters/houseName/0","characters/royal","characters/parents/0","characters/parents/1","characters/siblings/0","characters/siblings/1","characters/killedBy/0","characters/characterImageThumb","characters/characterImageFull","characters/nickname","characters/killed/0","characters/killed/1","characters/servedBy/0","characters/servedBy/1","characters/parentOf/0","characters/parentOf/1","characters/parentOf/2","characters/marriedEngaged/0","characters/serves/0","characters/kingsguard","characters/killedBy/1","characters/siblings/2","characters/siblings/3","characters/killed/2","characters/killed/3","characters/killed/4","characters/killed/5","characters/killed/6","characters/killed/7","characters/killed/8","characters/killed/9","characters/killed/10","characters/killed/11","characters/killed/12","characters/killed/13","characters/guardedBy/0","characters/actors/0/actorName","characters/actors/0/actorLink","characters/actors/0/seasonsActive/0","characters/actors/1/actorName","characters/actors/1/actorLink","characters/actors/1/seasonsActive/0","characters/actors/0/seasonsActive/1","characters/actors/0/seasonsActive/2","characters/actors/0/seasonsActive/3","characters/serves/1","characters/serves/2","characters/serves/3","characters/houseName/1","characters/parentOf/3","characters/parentOf/4","characters/marriedEngaged/1","characters/actors/1/seasonsActive/1","characters/actors/1/seasonsActive/2","characters/killed/14","characters/killed/15","characters/servedBy/2","characters/servedBy/3","characters/servedBy/4","characters/servedBy/5","characters/guardedBy/1","characters/guardedBy/2","characters/guardianOf/0","characters/allies/0","characters/allies/1","characters/siblings/4","characters/killedBy/2","characters/actors/2/actorName","characters/actors/2/actorLink","characters/actors/2/seasonsActive/0","characters/actors/2/seasonsActive/1","characters/actors/2/seasonsActive/2","characters/actors/2/seasonsActive/3","characters/actors/2/seasonsActive/4","characters/guardianOf/1","characters/guardianOf/2","characters/parents/2","characters/killedBy/3","characters/abductedBy/0","characters/marriedEngaged/2","characters/abducted/0","characters/sibling/0","characters/sibling/1","characters/allies/2"
Archmaester Marwyn,/character/ch0578265/,Jim Broadbent,/name/nm0000980/,"",false,"","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Areo Hotah,/character/ch0507107/,Deobia Oparei,/name/nm0649046/,"",false,"","","","",Tyene Sand,https://images-na.ssl-images-amazon.com/images/M/MV5BNWFkNTAwNzctOGQ2ZS00OTMyLWE3NDYtOGUwM2E1MzVlYjI0XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNWFkNTAwNzctOGQ2ZS00OTMyLWE3NDYtOGUwM2E1MzVlYjI0XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,"","","","","","","","","",Doran Martell,false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Armeca,/character/ch0305014/,Sahara Knite,/name/nm1783582/,"",false,"","","","","",https://images-na.ssl-images-amazon.com/images/M/MV5BZmQyMGVlMDctYWFhMi00YzMyLTlkZDgtOWNmZTY3NmZkYzZlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BZmQyMGVlMDctYWFhMi00YzMyLTlkZDgtOWNmZTY3NmZkYzZlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,"","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Arthur,/character/ch0305326/,Nathanael Saleh,/name/nm8127149/,"",false,"","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Arthur Dayne,/character/ch0540097/,Luke Roberts,/name/nm1074361/,"",false,"","","","",Howland Reed,https://images-na.ssl-images-amazon.com/images/M/MV5BODczZDUxYmQtMzk1MC00ZTUwLTk1MjAtZDJlODViMWFhOGU5XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BODczZDUxYmQtMzk1MC00ZTUwLTk1MjAtZDJlODViMWFhOGU5XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,"","","","","","","","","",Aerys II Targaryen,true,Eddard Stark,"","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Arya Stark,/character/ch0158604/,Maisie Williams,/name/nm3586035/,Stark,false,Eddard Stark,Catelyn Stark,Robb Stark,Sansa Stark,"",https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5MTYwNDc0OF5BMl5BanBnXkFtZTcwOTg2NDg1Nw@@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5MTYwNDc0OF5BMl5BanBnXkFtZTcwOTg2NDg1Nw@@._V1_SY1000_CR0,0,665,1000_AL_.jpg","",Red Keep Stableboy,Frey Soldier #1,"","","","","","","",false,"",Bran Stark,Rickon Stark,Polliver,Rorge,Ghita,Meryn Trant,The Waif,Black Walder Rivers,Lothar Frey,Walder Frey,Petyr Baelish,The Night King,White Walker,Viserion,Nymeria,"","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Baby Sam,/character/ch0547881/,"","","",false,Samwell Tarly,Gilly,"","","","","","","","","","","","","","","",false,"","","","","","","","","","","","","","","","",William Wilson,/name/nm8251159/,7,James Wilson,/name/nm8251160/,7,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Balon Greyjoy,/character/ch0292152/,Patrick Malahide,/name/nm0538869/,Greyjoy,false,"","",Euron Greyjoy,Aeron Greyjoy,Euron Greyjoy,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNjkwODczN15BMl5BanBnXkFtZTcwODMwNTgzNw@@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNjkwODczN15BMl5BanBnXkFtZTcwODMwNTgzNw@@._V1_SY1000_CR0,0,637,1000_AL_.jpg","","","","","",Yara Greyjoy,Theon Greyjoy,"","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Baratheon Guard,/character/ch0350989/,Phil Barnhill,/name/nm4207240/,Baratheon,false,"","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Barristan Selmy,/character/ch0241346/,Ian McElhinney,/name/nm0568400/,"",false,"","","","",Sons of the Harpy,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyMTE0NjUxNV5BMl5BanBnXkFtZTcwOTA1ODg5NA@@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyMTE0NjUxNV5BMl5BanBnXkFtZTcwOTA1ODg5NA@@._V1_SX1500_CR0,0,1500,999_AL_.jpg","","","","","","","","","",Daenerys Targaryen,false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Benjen Stark,/character/ch0153996/,Joseph Mawle,/name/nm1152798/,Stark,false,Rickard Stark,"",Brandon Stark,Lyanna Stark,Wights,https://images-na.ssl-images-amazon.com/images/M/MV5BMjFiY2M5MjgtZmRiMS00ZTAyLTk2Y2UtMjdjZTRkZmVlYTMyXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMjFiY2M5MjgtZmRiMS00ZTAyLTk2Y2UtMjdjZTRkZmVlYTMyXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,"","","","","","","","","","",false,"",Eddard Stark,"","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Beric Dondarrion,/character/ch0305320/,"","","",false,"","","","",Sandor Clegane,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQwMTEwNTg2MF5BMl5BanBnXkFtZTgwNTAxODYxOTE@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjQwMTEwNTg2MF5BMl5BanBnXkFtZTgwNTAxODYxOTE@._V1_SY1000_CR0,0,665,1000_AL_.jpg","","","","","","","","","","",false,Wights,"","","","","","","","","","","","","","","",Richard Dormer,/name/nm0233807/,3,David Michael Scott,/name/nm2364108/,1,6,7,8,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Bianca,/character/ch0541364/,Eline Powell,/name/nm4730958/,"",false,"","","","","",https://images-na.ssl-images-amazon.com/images/M/MV5BYWJhYjcxYzgtMDlhZi00OGNhLWE0NzAtMWFhMDJlYTZmYzY2XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BYWJhYjcxYzgtMDlhZi00OGNhLWE0NzAtMWFhMDJlYTZmYzY2XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,"","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Biter,/character/ch0305028/,Gerard Jordan,/name/nm0429956/,"",false,"","","","",Sandor Clegane,https://images-na.ssl-images-amazon.com/images/M/MV5BNWVjOWFjNGEtYzc0MC00YjkzLTkxM2QtN2Y1MmU4NzIzOTEyXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNWVjOWFjNGEtYzc0MC00YjkzLTkxM2QtN2Y1MmU4NzIzOTEyXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,"","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Black Lorren,/character/ch0266524/,Forbes KB,/name/nm1978998/,"",false,"","","","","",https://images-na.ssl-images-amazon.com/images/M/MV5BNjg5ZGZjZDUtZmJmNC00MjQ5LWJhZDAtOTc0MzYzNTNkMTZiXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNjg5ZGZjZDUtZmJmNC00MjQ5LWJhZDAtOTc0MzYzNTNkMTZiXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,"","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Black Walder Rivers,/character/ch0014591/,Tim Plester,/name/nm1043031/,Frey,false,Walder Frey,"","","",Arya Stark,"","","",Catelyn Stark,"","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Bobono,/character/ch0541790/,Leigh Gill,/name/nm5279916/,"",false,"","","","","",https://images-na.ssl-images-amazon.com/images/M/MV5BZWRmNWVhNTctOGJlZC00ZjVlLThkY2MtODU3Y2I2Njc1YzZjL2ltYWdlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BZWRmNWVhNTctOGJlZC00ZjVlLThkY2MtODU3Y2I2Njc1YzZjL2ltYWdlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,"","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Bowen Marsh,/character/ch0305036/,Michael Condron,/name/nm1638006/,"",false,"","","","",Jon Snow,https://images-na.ssl-images-amazon.com/images/M/MV5BNmRkMDYxYjQtYTBjZi00NDZlLThmNGMtYzlhNGI1ZDE5NTJmXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNmRkMDYxYjQtYTBjZi00NDZlLThmNGMtYzlhNGI1ZDE5NTJmXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,"",Jon Snow,"","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Brandon Stark,"","","",Stark,false,Rickard Stark,"",Lyanna Stark,Benjen Stark,Aerys II Targaryen,"","","","","","","","","","","","",false,"",Eddard Stark,"","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Bran Stark,/character/ch0234897/,Isaac Hempstead Wright,/name/nm3652842/,Stark,true,Eddard Stark,Catelyn Stark,Robb Stark,Sansa Stark,"",https://images-na.ssl-images-amazon.com/images/M/MV5BMTA1NTg0NTI3MTBeQTJeQWpwZ15BbWU3MDEyNjg4OTQ@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTA1NTg0NTI3MTBeQTJeQWpwZ15BbWU3MDEyNjg4OTQ@._V1_SX1500_CR0,0,1500,999_AL_.jpg","","","","","","","","","","",false,"",Arya Stark,Rickon Stark,"","","","","","","","","","","","",Summer,"","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Brea,/character/ch0539337/,Gemita Samarra,/name/nm5106314/,"",false,"","","","","",https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMzc4MjE3N15BMl5BanBnXkFtZTgwMDg0Njc5NTE@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMzc4MjE3N15BMl5BanBnXkFtZTgwMDg0Njc5NTE@._V1_SX1777_CR0,0,1777,999_AL_.jpg","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Brienne of Tarth,/character/ch0254503/,Gwendoline Christie,/name/nm3729225/,"",false,"","","","","",https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzNDY4NzgzOV5BMl5BanBnXkFtZTcwNDM5ODg4OQ@@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzNDY4NzgzOV5BMl5BanBnXkFtZTcwNDM5ODg4OQ@@._V1_.jpg,"",Soldier Tom,Stannis Baratheon,Podrick Payne,"","","","","",Renly Baratheon,true,"","","",Bolton Officer,"","","","","","","","","","","","","","",,"","",,,,,Catelyn Stark,Sansa Stark,Bran Stark,"","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Bronn,/character/ch0241345/,Jerome Flynn,/name/nm0283492/,"",false,"","","","","",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0MzI5MjY1OV5BMl5BanBnXkFtZTcwODM1ODg4OQ@@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0MzI5MjY1OV5BMl5BanBnXkFtZTcwODM1ODg4OQ@@._V1_.jpg,"",Vardis Egen,Matthos Seaworth,"","","","","",Lollys Stokeworth,"",false,"","","",Lead Dornish Guard,"","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Brother Ray,/character/ch0541878/,Ian McShane,/name/nm0574534/,"",false,"","","","",Lem Lemoncloak,https://images-na.ssl-images-amazon.com/images/M/MV5BMTAwNjU5MTY3NzleQTJeQWpwZ15BbWU4MDIwODkwMTkx._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTAwNjU5MTY3NzleQTJeQWpwZ15BbWU4MDIwODkwMTkx._V1_SY1000_CR0,0,1502,1000_AL_.jpg","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Brynden Tully,/character/ch0381563/,Clive Russell,/name/nm0751085/,Tully,false,"","",Hoster Tully,"","",https://images-na.ssl-images-amazon.com/images/M/MV5BOTg5ZDIwOWUtMjQ1OS00YjgxLThmMDgtOWUwZjQ4MzE3ZDhlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BOTg5ZDIwOWUtMjQ1OS00YjgxLThmMDgtOWUwZjQ4MzE3ZDhlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,Blackfish,"","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Captain of the Archers,/character/ch0540864/,Michael Grennell,/name/nm1214477/,"",false,"","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Catelyn Stark,/character/ch0145135/,Michelle Fairley,/name/nm0265610/,Stark,false,Hoster Tully,"",Lysa Arryn,Edmure Tully,Black Walder Rivers,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2ODc4MTkxMV5BMl5BanBnXkFtZTcwNjM3MTg4OQ@@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2ODc4MTkxMV5BMl5BanBnXkFtZTcwNjM3MTg4OQ@@._V1_SY1000_CR0,0,915,1000_AL_.jpg","",Joyeuse Erenford,"","","",Robb Stark,Sansa Stark,Arya Stark,Eddard Stark,"",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","",Tully,Bran Stark,Rickon Stark,Brandon Stark,,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Catspaw Assassin,/character/ch0305046/,Lalor Roddy,/name/nm0734498/,"",false,"","","","",Summer,"","","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Young Lyanna Stark,/character/ch0543804/,Cordelia Hill,/name/nm8108764/,Stark,false,"","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Cersei Lannister,/character/ch0159526/,Lena Headey,/name/nm0372176/,Lannister,true,Tywin Lannister,"",Jaime Lannister,Tyrion Lannister,Roof collapse,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgzNTAxNjExMl5BMl5BanBnXkFtZTcwMDEwNzI4OQ@@._V1._CR954,56,605,670._SX100_SY140_.jpg","https://images-na.ssl-images-amazon.com/images/M/MV5BMTgzNTAxNjExMl5BMl5BanBnXkFtZTcwMDEwNzI4OQ@@._V1._CR954,56,605,670_.jpg","",Lancel Lannister,High Sparrow,"","",Joffrey Baratheon,Myrcella Baratheon,Tommen Baratheon,Robert Baratheon,"",false,"","","",Loras Tyrell,Mace Tyrell,Margaery Tyrell,Kevan Lannister,Tyene Sand,"","","","","","","","","","",,"","",,,,,"","","",Baratheon,"","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
