House_name,Region
Lake,Dorne
Lake,North
Langward,Crownlands
Lannett,Westerlands
Lannister of Casterly Rock,Westerlands
Lannister of Darry,Riverlands
Lannister of Lannisport,Westerlands
Lanny,Westerlands
Lantell,Westerlands
Leek,Unknown
Lefford of the Golden Tooth,Westerlands
Leygood,Reach
Liddle,North (Mountain Clans)
Lightfoot,North
Lipps,Vale of Arryn
Locke of Oldcastle,North
Lolliston,Riverlands
Long,North
Longthorpe of Longsister,Vale of Arryn (Sistermen)
Longwaters,Crownlands
Lonmouth,Stormlands
Lorch,Westerlands
Lothston of Harrenhal,Riverlands
Lowther,Reach
Lyberr,Reach
Lychester,Riverlands
Lydden of Deep Den,Westerlands
Lynderly of Snakewood,Vale of Arryn
Magnar of Kingshouse,North (Skagosi Clans)
Mallery,Crownlands
Mallister of Seagard,Riverlands
Manderly of White Harbor,North; Reach (formerly)
Mandrake,Unknown
Manning,Crownlands
Manwoody of Kingsgrave,Dorne
Marbrand of Ashemark,Westerlands
Marsh,North
Martell of Sunspear,Dorne
Massey of Stonedance,Crownlands
Meadows of Grassy Vale,Reach
Melcolm of Old Anchor,Vale of Arryn
Merlyn of Pebbleton,Iron Islands
Merryweather of Longtable,Reach
Mertyns of Mistwood,Stormlands
Middlebury,Reach
Mollen,North
Moore,Vale of Arryn
Mooton of Maidenpool,Riverlands
Moreland,Westerlands
Mormont of Bear Island,North
Morrigen of Crow's Nest,Stormlands
Moss,North
Mudd of Oldstones,Riverlands
Mullendore of Uplands,Reach
Musgood,Stormlands
Myatt,Westerlands
Myre of Harlaw,Iron Islands
Nayland of Hag's Mire,Riverlands
Netley,Iron Islands
Norcross,Reach
Norrey,North (Mountain Clans)
Norridge,Reach
Nute of Oakenshield,Iron Islands (Shield Islands)
Nutt,Riverlands
Oakheart of Old Oak,Reach
Oldflowers,Reach
Orkwood of Orkmont,Iron Islands
Orme,Reach
Osgrey of Leafy Lake,Reach
Osgrey of Standfast,Reach
Overton,North
Paege,Riverlands
Parren,Westerlands
Payne,Westerlands
Peake of Starpike,Reach
Peasebury of Poddingfield,Stormlands
Peat,North (Crannogmen)
Peckledon,Westerlands
Pemford,Riverlands
Penny,Unknown
Penrose of Parchments,Stormlands
Perryn,Riverlands
Piper of Pinkmaiden,Riverlands
Plumm,Westerlands
Pommingham,Reach
Poole,North
Potter,Unknown
Prester of Feastfires,Westerlands
Pryor of Pebble,Vale of Arryn
Pyle,Crownlands
Pyne,Crownlands (Crackclaw Point)
Qoherys of Harrenhal,Riverlands
Qorgyle of Sandstone,Dorne
Quagg,North (Crannogmen)
Rambton,Crownlands
Redbeard,North
Redding,Reach
Redfort of Redfort,Vale of Arryn
Redwyne of the Arbor,Reach
Reed of Greywater Watch,North (Crannogmen)
Reyne of Castamere,Westerlands
Rhysling,Reach
Risley of Risley Glade,Reach
Rogers of Amberly,Stormlands
Rollingford,Crownlands
Roote of Lord Harroway's Town,Riverlands
Rosby of Rosby,Crownlands
Rowan of Goldengrove,Reach
Roxton of the Ring,Reach
Royce of Runestone,Vale of Arryn
Royce of the Gates of the Moon,Vale of Arryn
Ruskyn,Unknown
Ruthermont,Vale of Arryn
Ruttiger,Westerlands
Ryder of the Rills,North
Ryger of Willow Wood,Riverlands
Rykker of Duskendale,Crownlands
Ryswell of the Rills,North
Saltcliffe of Saltcliffe,Iron Islands
Santagar of Spottswood,Dorne
Sarsfield of Sarsfield,Westerlands
Sawyer,Unknown
Seaworth of Cape Wrath,Stormlands
Selmy of Harvest Hall,Stormlands (Marcher Lords)
Serrett of Silverhill,Westerlands
Serry of Southshield,Reach (Shield Islands)
Sharp,Iron Islands
Shawney,Riverlands
Shell,Vale of Arryn
Shell,Dorne
Shepherd,Iron Islands
Shermer of Smithyton,Reach
Shett of Gull Tower,Vale of Arryn
Shett of Gulltown,Vale of Arryn
Slate of Blackpool,North
Sloane,Reach
Slynt of Harrenhal,Crownlands (origin); Riverlands (deposed)
Smallwood of Acorn Hall,Riverlands
Sparr of Great Wyk,Iron Islands
Spicer of Castamere,Westerlands
Stackhouse,Reach
Stackspear,Westerlands
Staedmon of Broad Arch,Stormlands
Stane of Driftwood Hall,North (Skagosi Clans)
Stark of Winterfell,North
Staunton of Rook's Rest,Crownlands
Stokeworth of Stokeworth,Crownlands
Stonehouse of Old Wyk,Iron Islands
Stonetree of Harlaw,Iron Islands
Stout of Goldgrass,North
Strickland,Unknown
Strong of Harrenhal,Riverlands
Suggs,Unknown
Sunderland of the Three Sisters,Vale of Arryn (Sistermen)
Sunderly of Saltcliffe,Iron Islands
Sunglass of Sweetport Sound,Crownlands (Dragonstone)
Swann of Stonehelm,Stormlands (Marcher Lords)
Swyft of Cornfield,Westerlands
Swygert,Stormlands
Tallhart of Torrhen's Square,North
Tarbeck of Tarbeck Hall,Westerlands
Targaryen of King's Landing,Crownlands
Tarly of Horn Hill,Reach
Tarth of Evenfall Hall,Stormlands
Tawney of Orkmont,Iron Islands
Teague,Riverlands
Templeton of Ninestars,Vale of Arryn
Terrick,Riverlands
Thenn,North
Thorne,Crownlands
Toland of Ghost Hill,Dorne
Tollett of the Grey Glen,Vale of Arryn
Torrent of Littlesister,Vale of Arryn (Sistermen)
Towers,North
Towers of Harrenhal,Riverlands
Toyne,Stormlands
Trant of Gallowsgrey,Stormlands
Tudbury,Stormlands
Tully of Riverrun,Riverlands
Turnberry,Westerlands
Tyrell of Brightwater Keep,Reach
Tyrell of Highgarden,Reach
Uffering,Reach
Uller of the Hellholt,Dorne
Umber of the Last Hearth,North
Upcliff of the Witch Isle,Vale of Arryn
Vaith of the Red Dunes,Dorne
Vance of Atranta,Riverlands
Vance of Wayfarer's Rest,Riverlands
Varner,Reach
Velaryon of Driftmark,Crownlands (Dragonstone)
Vikary,Westerlands
Volmark of Volmark,Iron Islands (Shield Islands)
Vypren,Riverlands
Vyrwel of Darkdell,Reach
Wade,Dorne
Wagstaff,Stormlands
Warrick,Unknown
Waterman,North
Waxley of Wickenden,Vale of Arryn
Wayn,Riverlands
Waynwood of Ironoaks,Vale of Arryn
Weatherwax,Unknown
Weaver,Iron Islands
Webber of Coldmoat,Reach
Wells,Dorne
Wells,North
Wendwater,Crownlands
Wensington,Stormlands
Westbrook,Reach
Westerling of the Crag,Westerlands
Whitfield,Unknown
Whent of Harrenhal,Riverlands
Whitehead of the Weeping Town,Stormlands
Whitehill of Highpoint,North
Willum,Reach
Wode,Riverlands
Woodfoot of Bear Island,North
Woodhull,Vale of Arryn
Woods,North (Wolfswood Clans)
Woodwright,Reach
Woolfield,North
Wull,North (Mountain Clans)
Wydman,Vale of Arryn
Wyl of the Boneway,Dorne
Wylde of Rain House,Stormlands
Wynch of Iron Holt,Iron Islands
Wythers,Reach
Yarwyck,Westerlands
Yelshire,Reach
Yew,Westerlands
Yronwood of Yronwood,Dorne
Branfield,Unknown
Forrester of Ironrath,North (Wolfswood Clans)
Glenmore of Rillwater Crossing,North
Tuttle,North
Whitehill,North
Harlton of Castlewood,Riverlands
Sarwyck of Riverspring,Westerlands
Westford,Westerlands
