Character,Actor/ess,Episodes_appeared,First_appearance,Last_appearance
Yezzan zo Qaggaz,Enzo Cilenti,4,2015,2016
Karl Tanner,Burn Gorman,4,2013,2014
Ilyn Payne,Wilko Johnson,4,2011,2012
Marillion,Emun Elliott,4,2011,2011
Dickon Tarly,Tom Hopper,4,2017,2017
Qhorin Halfhand,Simon Armstrong,4,2012,2012
Lothar Frey,Daniel Tuite,4,2016,2016
Rorge,Andy Beckwith,4,2012,2014
Lommy Greenhands,Eros Vlahos,4,2011,2012
Matthos Seaworth,Kerr Logan,4,2012,2012
Armeca,Sahara Knite,4,2011,2012
Royal Steward,Robert Sterne,4,2011,2011
Black Lorren,Forbes KB,4,2012,2012
Amory Lorch,Fintan McKeown,4,2012,2012
Biter,Gerard Jordan,4,2012,2014
Young Ned,Robert Aramayo,4,2016,2017
Baby Sam,William Nevan Wilson,4,2016,2017
Baby Sam,James Robert Wilson,4,2016,2017
Timett,Tobias Winter,4,2011,2012
Steelshanks Walton,Jamie Michie,4,2013,2013
Izembaro,Richard E. Grant,3,2016,2016
Lady Crane,Essie Davis,3,2016,2016
Spice King,Nicholas Blane,3,2012,2012
Three-Eyed Raven,Max von Sydow,3,2016,2016
Syrio Forel,Miltos Yerolemou,3,2011,2011
Harrag,Brendan Cowell,3,2017,2017
Salladhor Saan,Lucian Msamati,3,2012,2014
Daario Naharis,Ed Skrein,3,2013,2013
Greatjon Umber,Clive Mantle,3,2011,2011
Camello,Kevin Eldon,3,2016,2017
Harald Karstark,Paul Rattray,3,2016,2016
Giant Wight #2,Neil Fingleton,3,2014,2017
Leaf,Kae Alexander,4,2016,2016
Bobono,Leigh Gill,3,2016,2016
Razdal mo Eraz,George Georgiou,3,2013,2016
Lhara,Sarine Sofair,3,2014,2015
Clarenzo,Rob Callender,3,2016,2016
Thenn Warg,Joseph Gatt,3,2014,2014
Mirri Maz Duur,Mia Soteriou,3,2011,2011
Polliver,Andy Kellegher,3,2012,2014
Alton Lannister,Karl Davies,3,2012,2012
Khal Moro,Joseph Naufahu,3,2016,2016
Ned Umber,Harry Grasby,3,2017,2019
Kraznys mo Nakloz,Dan Hildebrand,3,2013,2013
Mossador,Reece Noi,3,2014,2015
White Walker,Ross Mullan,3,2012,2014
Rattleshirt,Edward Dogliani,3,2012,2013
Vala,Meena Rayann,3,2015,2016
Daisy,Maisie Dee,3,2012,2012
Bathhouse Prostitute,Samantha Bentley,3,2014,2015
Silk King,Slavko Juraga,3,2012,2012
Dothraki Bloodrider #1,Diogo Sales,3,2016,2016
Musician #1,Nanna Bryndís Hilmarsdóttir,3,2016,2016
Dothraki Bloodrider #2,Junade Khan,3,2016,2016
Musician #2,Ragnar Þórhallsson,3,2016,2016
Musician #3,Arnar Rosenkranz Hilmarsson,3,2016,2016
Musician #4,Brynjar Leifsson,3,2016,2016
Loyal Night's Watchman #2,Robert Fawsitt,3,2016,2016
Musician #5,Kristján Kristjánsson,3,2016,2016
King's Landing Whore,Xena Avramidis,3,2014,2015
Dothraki Woman Having Sex,Portia-Valis Volkova,3,2015,2016
Aggo,Chuku Modu,3,2016,2016
Frances,Annette Hannah,3,2016,2017
Brothel Patron #5,Derek Dubery,3,2015,2019
Hallyne,Roy Dotrice,2,2012,2012
Harry Strickland,Marc Rissmann,2,2019,2019
Illyrio Mopatis,Roger Allam,2,2011,2011
Lem Lemoncloak,Jóhannes Haukur Jóhannesson,2,2016,2016
Smalljon Umber,Dean Jagger,2,2016,2016
Martha,Bronte Carmichael,2,2019,2019
Mord,Ciaran Bermingham,2,2011,2011
Aeron Greyjoy,Michael Feast,2,2016,2016
Dim Dalba,Murray McArthur,2,2015,2016
Belicho Paenymion,Eddie Jackson,2,2016,2016
Fergus,Seamus O'Hara,2,2019,2019
Gatins,Ricky Champ,2,2016,2016
Teela,Bea Glancy,2,2019,2019
Old Nan,Margaret John,2,2011,2011
The Night King,Richard Brake,3,2014,2016
Morgan,Ian Davies,2,2016,2016
Woman with Elderly Parents,Lucy McConnell,2,2019,2019
Gregor 'The Mountain' Clegane,Conan Stevens,2,2011,2011
Malko,Adewale Akinnuoye-Agbaje,2,2015,2015
Thin Man,Oengus MacNamara,2,2015,2015
Lothar Frey,Tom Brooke,2,2013,2013
Bianca,Eline Powell,2,2016,2016
Vardis Egen,Brendan McCormack,2,2011,2011
Shagga,Mark Lewis Jones,2,2011,2011
Quaithe,Laura Pradelska,2,2012,2012
Margaery Tyrell Mummer,Eva Butterly,2,2016,2016
Old Woman,Stella McCusker,2,2015,2015
Baby Sam,Logan Watson,2,2019,2019
Hugh of the Vale,Jefferson Hall,2,2011,2011
Morag,Deirdre Monaghan,2,2014,2014
Todder,Will O'Connell,2,2013,2015
Johnna,Ali Lyons,2,2015,2015
Willa,Karla Lyons,2,2015,2015
Lady Kitty Frey,Lucy Hayes,2,2016,2017
Baby Sam,Finn Watson,2,2019,2019
Lyanna Stark,Aisling Franciosi,2,2016,2017
Village Woman,Eileen McCloskey,2,2019,2019
Farlen,Peter Ballance,2,2012,2012
Donnel Waynwood,Alisdair Simpson,2,2014,2014
Drennan,David Coakley,2,2012,2012
Sissy,Jane McGrath,2,2014,2014
Dosh khaleen High Priestess,Souad Faress,2,2016,2016
Zanrush,Gerald Lepkowski,2,2016,2016
King's Landing Whore,Emily Diamond,2,2011,2011
Ornela,Hannah John-Kamen,2,2016,2016
Young Nan,Annette Tierney,2,2016,2016
Kurleket,Kevin Keenan,2,2011,2011
Winterfell Shepherd,Donagh Deeney,2,2012,2012
The Tickler,Anthony Morris,2,2012,2012
Ghita,Hattie Gotobed,2,2015,2015
Wyllis,Sam Coleman,2,2016,2016
Morgan,Chris Reilly,2,2012,2014
Greizhen mo Ullhor,Cliff Barry,2,2013,2013
Mole's Town Whore,Lois Winstone,2,2014,2014
Willis Wode,Ryan McKenna,2,2011,2011
Jacks,Paul Caddell,2,2012,2012
Goldcloak,Sam Callis,2,2012,2012
King's Landing Rioter #1,Reg Wayment,2,2012,2012
Ternesio Terys,Gary Oliver,2,2014,2015
Moro's Wife #2,Fola Evans-Akingbola,2,2016,2016
Master Torturer,Michael Shelford,2,2013,2013
Great Master #1,Emilio Doorgasingh,2,2014,2014
Young Ned Stark,Sebastian Croft,2,2016,2016
Young Rodrik Cassel,Fergus Leathem,2,2016,2016
Mhaegen,Antonia Christophers,2,2011,2012
nan,Will Fortune,2,2014,2015
Mole's Town Madam,Lu Corfield,2,2014,2014
Lannister Captain,Aiden Condron,2,2012,2012
Quent,Aidan Crowe,2,2012,2012
Young Benjen Stark,Matteo Elezi,2,2016,2016
Dothraki Widow #1,Angelique Fernandez,2,2016,2016
Stark Guard,David Sheehan,2,2012,2012
Mummer #2,Glen Barry,2,2016,2016
Kayla,Pixie Le Knot,2,2013,2014
Manservant,Conor Watters,2,2014,2014
Mummer #3,Brendan O'Rourke,2,2016,2016
Tobho Mott,Andrew Wilde,2,2011,2012
Mummer #4,Ross Anderson-Doherty,2,2016,2016
Night's Watchman #1,Michael Hayes,2,2016,2016
Dothraki Widow #2,Wuese Houston-Jibo,2,2016,2016
Willem Lannister,Timothy Gibbons,2,2013,2013
Baratheon Soldier #2,Jason McLaughlin,2,2015,2015
Loyal Night's Watchman #1,Steve Cash,2,2016,2016
Night's Watchman #2,Tony Flynn,2,2016,2016
Night's Watchman,Michael Hooley,2,2016,2016
The Mother,Em Scribbler,2,2015,2015
Male Prostitute,Dennis Stokes,2,2012,2012
The Maiden,Rebecca Scott,2,2015,2015
The Crone,Rosie Ruthless,2,2015,2015
Arthur,Nathanael Saleh,2,2016,2016
Little Bird #4,Jesse Magee,2,2016,2016
Little Bird #3,Michael Nevin,2,2016,2016
Little Bird #6,Lucy Gallagher,2,2016,2016
Little Bird #5,Iona Clarke,2,2016,2016
Little Bird #7,Fionn Kernan,2,2016,2016
Three-Eyed Raven,Struan Rodger,2,2014,2014
Joyeuse Frey,Kelly Long,2,2011,2013
Tyrell Lady,Sophie Reid,2,2013,2013
Tommy,Tommy Dunne,2,2011,2014
Leo Lefford,Vinnie McCabe,2,2011,2011
Ironborn #2,Robert Render,2,2011,2016
Brother Ray,Ian McShane,1,2016,2016
Nora,Laura Elphinstone,1,2019,2019
Xela,Alexis Raben,1,2019,2019
Lannister Soldier,Matthew Wolf,1,2019,2019
Karsi,Birgitte Hjort Sørensen,1,2015,2015
Nora's Daughter,Tipper Seifert-Cleveland,1,2019,2019
Singing Lannister Soldier,Stephen Swift,1,2012,2012
Northern Sentry,Frank Blake,1,2019,2019
Dying Man,Barry McGovern,1,2014,2014
Loboda,Zachary Baharov,1,2015,2015
Lannister Soldier,Ryan McKen,1,2019,2019
Stark Soldier,Danny Kirrane,1,2017,2017
Unsullied Captain,Gabriel Akuwudike,1,2019,2019
Lannister Soldier,Owen Whitelaw,1,2019,2019
Imry Florent,Gordon Mahon,1,2012,2012
Captain of the Bolton Archers,Rory Mullen,1,2016,2016
Koner,Joseph Quinn,1,2017,2017
Ironborn Lord,Noel Harron,1,2019,2019
Young Woman,Rori Hawthorn,1,2019,2019
Mandon Moore,James Doran,1,2012,2012
Bolton General,Mark Tankersley,1,2016,2016
Northerner in Alley,Oliver Devoti,1,2019,2019
Dornish Prince,Toby Osmond,1,2019,2019
Jhiqui,Sarita Piotrowski,1,2011,2011
Baratheon Officer,Kieran Cunningham,1,2012,2012
Northman Rider,David Birkbeck,1,2016,2016
Melessa Tarly,Samantha Spiro,1,2016,2016
Winterfell Local,Breige Roche,1,2017,2017
Riverlands Lord,Andrew Bicknell,1,2019,2019
Lannister Soldier,Jim Tighe,1,2019,2019
Will,Bronson Webb,1,2011,2011
Captain of the Archers,Michael Grennell,1,2012,2012
Lord of Bones,Ross O'Hennessy,1,2015,2015
Northman Archer,Paul Garrett,1,2016,2016
Stark Soldier,Eamonn Keenan,1,2017,2017
Lord Une,Michael Benbaruk,1,2019,2019
Mycah,Rhodri Hosking,1,2011,2011
Jon Arryn,John Standing,1,2011,2011
Mero,Mark Killeen,1,2013,2013
Vale Lord,Frank Jakeman,1,2019,2019
Lannister Soldier,Luke McQuillan,1,2019,2019
Waymar Royce,Rob Ostlere,1,2011,2011
Prendahl na Ghezn,Ramon Tikaram,1,2013,2013
Goatherd,Philip Arditti,1,2014,2014
Northern Lord,Niall Bishop,1,2019,2019
King's Landing Citizen,Nicky Harley,1,2019,2019
Gared,Dermot Keaney,1,2011,2011
Catspaw Assassin,Lalor Roddy,1,2011,2011
Maester Cressen,Oliver Ford Davies,1,2012,2012
Septon,Kenneth Hadley,1,2013,2013
First Mate,Rhodri Miles,1,2014,2014
Citadel Maester,Julian Firth,1,2017,2017
Wight at Table,Javier Botet,1,2019,2019
King's Landing Citizen,Hayley McQuillan,1,2019,2019
Crying Man,Pádraig O'Grady,1,2019,2019
Lannister Guard,Conor Delaney,1,2011,2011
Maggy,Jodhi May,1,2015,2015
The Waif's Disguise,Margaret Jackman,1,2016,2016
Citadel Maester,Philip O'Sullivan,1,2017,2017
Lannister Soldier,Adam Devereux,1,2019,2019
Lannister,Eoin Duffy,1,2019,2019
Roslin Frey,Alexandra Dowling,1,2013,2013
Anya Waynwood,Paola Dionisotti,1,2014,2014
Bathhouse Prostitute,Samantha McEwan,1,2014,2014
Braavosi Captain,Morgan C. Jones,1,2015,2015
Ironborn #1,Darrell D'Silva,1,2016,2016
Westerosi Trader,Kevin Horsham,1,2016,2016
Street Red Priestess Meereen,Melanie Liburd,1,2016,2016
Goldcloak,Laurence Spellman,1,2017,2017
nan,Conor Maguire,1,2019,2019
Lannister Soldier,Thomas Martin,1,2019,2019
Willa,Alice Nokes,1,2019,2019
nan,Shane Whisker,1,2019,2019
Old Man,Sean Buckley,1,2013,2013
Yunkai'i Whore,Talitha Luke-Eardley,1,2013,2013
Ironborn in Skiff,Michael Hough,1,2014,2014
Black Armored White Walker,Tim Loane,1,2015,2015
Slaver,Michael Yare,1,2015,2015
Bear Island Maester,Louis Rolston,1,2016,2016
Rhaegar Targaryen,Wilf Scolding,1,2017,2017
Fergus' Friend,Thomas Finnegan,1,2019,2019
Sarra,Danielle Galligan,1,2019,2019
Lannister Soldier,Brian Patrick Kennedy,1,2019,2019
Villager 1,Lorcan Strain,1,2019,2019
Wine Merchant,Simon Lowe,1,2011,2011
Frey Guard,A.J. Kennedy,1,2013,2013
Prisoner,Marko Jelic,1,2014,2014
Great Master #1,Gianpiero Cognoli,1,2015,2015
Joss,James McKenzie Robinson,1,2015,2015
Volantene Whore #1,Katie Alexander Thom,1,2016,2016
High Septon Maynard,Tom Chadbon,1,2017,2017
King's Landing Citizen,Luna Kalo,1,2019,2019
Winterfell Girl,Emer McDaid,1,2019,2019
nan,Ella-Rose Sands,1,2019,2019
Pentoshi Servant,Rania Zouari,1,2011,2011
High Septon,David Verrey,1,2012,2012
Merry Frey,Grace Hendy,1,2013,2013
Bolton Guard,Anthony Boyle,1,2014,2014
Ralf Kenning,Grahame Fox,1,2014,2014
Pit Announcer,Nicholas Boulton,1,2015,2015
Street Red Priestess Volantis,Rila Fukushima,1,2015,2015
Winter Town Man,Raymond Keane,1,2015,2015
Northman Rioter,Jed Murray,1,2016,2016
Tully Bannerman,Sam Redford,1,2016,2016
Aerys Targaryen,David Rintoul,1,2016,2016
Crayah,Lucy Aarden,1,2019,2019
King's Landing Citizen,Caitlin Pharro,1,2019,2019
Varly,Graham Charles,1,2011,2011
Goldcloak,Alan Paris,1,2011,2011
Hog Farmer,Pat McGrath,1,2013,2013
Elder Meereen Slave,Philip Philmar,1,2014,2014
Great Master #2,Bobby Asghar,1,2015,2015
Wildling Rioter,Michael Patrick,1,2016,2016
Dickon Tarly,Freddie Stroma,1,2016,2016
Crossroads Inn Patron,Ben Fox,1,2017,2017
Stark Soldier,Luke Wilson Hanley,1,2017,2017
Lannister General,Guy Oliver-Watts,1,2017,2017
Lannister Soldier,Ed Sheeran,1,2017,2017
'Littlefinger' Winterfell Spy,Adele Smyth-Kennedy,1,2017,2017
Northman,Robbie Beggs,1,2019,2019
Dirah,Marina Lawrence-Mahrra,1,2019,2019
King's Landing Citizen,Louis McCartney,1,2019,2019
nan,Fionnuala Murphy,1,2019,2019
White Walker #2,Spencer Wilding,1,2011,2011
Lannister Guard,Sam Mackay,1,2012,2012
Drowned Priest,Jonathan Ryan,1,2012,2012
Theon's Master of Hounds,Steve Wilson,1,2012,2012
Fennesz,Trevor Allan Davies,1,2014,2014
Tansy,Jazzy De Lisser,1,2014,2014
Goatherd's Son,Gian Sanghera-Warren,1,2014,2014
Braavosi Madam,Lacy Moore,1,2015,2015
Merchant Captain,Gary Pillai,1,2015,2015
Great Master #3,Peter Silverleaf,1,2015,2015
Talla Tarly,Rebecca Benson,1,2016,2016
King's Landing Boaster,Dylan Edwards,1,2016,2016
Lannister Soldier,Matt Faris,1,2016,2016
Ash,Yousef 'Joe' Sweid,1,2016,2016
Crossroads Inn Patron,Mark Roper,1,2017,2017
Lannister Soldier,Thomas Turgoose,1,2017,2017
,Rosa Frazer,1,2019,2019
King's Landing Citizen,Rosie McClelland,1,2019,2019
nan,Roma Tomelty,1,2019,2019
Dothraki Crone,Amira Ghazalla,1,2011,2011
Jaremy Rykker,Jeffrey O'Brien,1,2011,2011
Wight Wildling Girl,Claire Wright,2,2011,2014
Captain's Daughter,Amy Dawson,1,2012,2012
Rennick,David Fynn,1,2012,2012
Wendel Manderly,Oddie Braddell,1,2013,2013
nan,Mackenzie Dean,1,2014,2014
Adrack Humble,Jody Halse,1,2014,2014
Morgan's Friend,Stuart Martin,1,2014,2014
Young Braavosi,Jack Hickey,1,2015,2015
Great Master #4,Davor Jozinovic,1,2015,2015
Lead Dornish Guard,Christian Vit,1,2015,2015
Moro's Wife #1,Rubi Ali,1,2016,2016
Kesh,Michael Heath,1,2016,2016
Ironborn at Brothel,Neil Keery,1,2016,2016
Riddell,Ross McKinney,1,2016,2016
Lannister Soldier,Billy Postlethwaite,1,2017,2017
nan,Claire Connor,1,2019,2019
King's Landing Citizen,Isaac Heslip,1,2019,2019
Joss,Niall Cusack,1,2011,2011
Drunk Patron,Paul Portelli,1,2011,2011
Torrhen Karstark,Tyrone McElhennon,1,2012,2012
Drummer,Will Champion,1,2013,2013
Great Master #5,Ivan Peric,1,2015,2015
Kinvara,Ania Bukstein,1,2016,2016
Steve,Steve Love,1,2016,2016
Volantene Whore #2,Heidi Romanova,1,2016,2016
Tyrell Bannerman,Raül Tortosa,1,2016,2016
Lannister Guard,Adam Slynn,1,2017,2017
Winter Town Boy,Felix Jamieson,1,2019,2019
Lannister Soldier,Jack Morgan,1,2019,2019
Tomard,Phil Dixon,1,2011,2011
Stiv,Stephen Don,1,2011,2011
King's Landing Baker,Edward Mercieca,1,2011,2011
Goldcloak #1,Nikovich Sammut,1,2011,2011
Karstark Soldier #1,Neill Fleming,1,2012,2012
Lordsport Dockhand,Jer O'Leary,1,2012,2012
Bolton Soldier,Bryan Quinn,1,2013,2013
Leaf,Octavia Selena Alexandru,1,2014,2014
Vance Corbray,Richard Doubleday,1,2014,2014
Valyrian Slave,Robert Goodman,1,2014,2014
Axell Florent,James McHale,1,2014,2014
Innkeeper,Martin Walsh,1,2014,2014
Great Master #6,Hadi Kermani,1,2015,2015
Lannister Soldier,Brahm Gallagher,1,2016,2016
Khal Forzho,Tamer Hassan,1,2016,2016
Volantene Whore #3,Danielle Claire Jenner,1,2016,2016
Winter Town Woman,Syd Ralph,1,2019,2019
Goldcloak #2,Seamus Kelly,1,2011,2011
Night's Watchman,Marcus Lamb,1,2011,2011
Little Bird,Tristan Mercieca,1,2011,2011
Knight of House Lynderly,Paddy Rocks,1,2011,2011
Old Woman Prisoner,Gina Moxley,1,2012,2012
Mirelle,Elisa Lasowski,1,2013,2013
Sorcerer,Harold James McMullan,1,2013,2013
Unsullied,Karl Jackson,1,2014,2014
Lord Blackmont,Daniel Rabin,1,2014,2014
Great Master #7,Tonci Banov,1,2015,2015
Brothel Guard,Mishaël Lopes Cardozo,1,2015,2015
Faith Militant #1,Simon Norbury,1,2015,2015
Volantene Whore #4,Ella Hughes,1,2016,2016
The Waif's Disguise,Adam Turns,1,2016,2016
Stevron Frey,Colin Carnegie,1,2011,2011
Eon Hunter,Barrington Cullen,1,2011,2011
Gerald,Ken Fletcher,1,2012,2012
Boat Commander,Michael Power,1,2013,2013
Musician #1,Jon Thor Birgisson,1,2014,2014
Goatherd,Darren Kent,1,2014,2014
Kegs,Tim Landers,1,2014,2014
Derek,Ian Lloyd Anderson,1,2015,2015
Lollys Stokeworth,Elizabeth Cadwallader,1,2015,2015
Despondent Man,David Garlick,1,2015,2015
Faith Militant #2,Jack Olohan,1,2015,2015
Volantene Whore #5,Zoi Gorman,1,2016,2016
Winter Town Woman,Katie Tumelty,1,2019,2019
Ryger Rivers,Bryan McCaugherty,1,2011,2011
Night's Watch Deserter,Barry O'Connor,1,2011,2011
King's Landing Rioter #2,Marko Juraga,1,2012,2012
Colen of Greenpools,Darren Killeen,1,2012,2012
Wounded Lannister,Emmet O'Riabhaigh,1,2012,2012
Protestor,Edward Tudor-Pole,1,2012,2012
Margaery's Handmaiden,Aisling Jarrett-Gavin,1,2013,2013
Frey Soldier #1,Ciaran O'Grady,1,2013,2013
Riverlands Traveller,Joe Purcell,1,2013,2013
Musician #2,Orri P. Dyrason,1,2014,2014
Black Jack Bulwer,Cormac McDonagh,1,2014,2014
Ser Endrew Tarth,Dez McMahon,1,2014,2014
Craster's Wife #2,Aeryn Walker,1,2014,2014
Brant,Jonathan Byrne,1,2015,2015
Faceless Man,Cedric Henderson,1,2015,2015
Sellsword #1,Matt McArdle,1,2015,2015
Second Son,Slavko Sobin,1,2015,2015
Rickard Stark,Wayne Foskett,1,2016,2016
Ironborn Abusing a Volantene Whore,Billy King,1,2016,2016
Poisoned Frey,Paul Ward,1,2017,2017
King's Landing Urchin,Stephen Grech,1,2011,2011
Beric Dondarrion,David Michael Scott,1,2011,2011
Tortured Prisoner,Donal Gallery,1,2012,2012
Karstark Soldier #2,Duncan Lacroix,1,2012,2012
King's Landing Rioter #3,Rea Separovic,1,2012,2012
Orphan Kid,Max Barber,1,2013,2013
Karstark Lookout,Shaun Blaney,1,2013,2013
King's Landing Tailor,Joe Cassidy,1,2013,2013
Frey Soldier #2,Michael Liebmann,1,2013,2013
Musician #3,Georg Holm,1,2014,2014
Craster's Wife #3,Cheryl Lester,1,2014,2014
Farmer Hamlet,Finbar Lynch,1,2014,2014
Mully,Andy Moore,1,2014,2014
Tyrell Guard,Nikola Bace,1,2015,2015
Sellsword #2,Eddie Elks,1,2015,2015
Lannister Guard #1,Danny O'Connor,1,2015,2015
Lead Kingsguard,Paddy Wallace,1,2015,2015
Arthur Dayne,Luke Roberts,1,2016,2016
Frey Lord,Brendan Morrissey,1,2017,2017
