,characterName,characterLink,actorName,actorLink,houseName,royal,parents,siblings,killedBy,characterImageThumb,characterImageFull,nickname,killed,servedBy,parentOf,marriedEngaged,serves,kingsguard,guardedBy,actors,guardianOf,allies,abductedBy,abducted,sibling
10,Archmaester Marwyn,/character/ch0578265/,Jim Broadbent,/name/nm0000980/,,,,,,,,,,,,,,,,,,,,,
11,Areo Hotah,/character/ch0507107/,Deobia Oparei,/name/nm0649046/,,,,,['Tyene Sand'],https://images-na.ssl-images-amazon.com/images/M/MV5BNWFkNTAwNzctOGQ2ZS00OTMyLWE3NDYtOGUwM2E1MzVlYjI0XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNWFkNTAwNzctOGQ2ZS00OTMyLWE3NDYtOGUwM2E1MzVlYjI0XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,['Doran Martell'],,,,,,,,
12,Armeca,/character/ch0305014/,Sahara Knite,/name/nm1783582/,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BZmQyMGVlMDctYWFhMi00YzMyLTlkZDgtOWNmZTY3NmZkYzZlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BZmQyMGVlMDctYWFhMi00YzMyLTlkZDgtOWNmZTY3NmZkYzZlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,
13,Arthur,/character/ch0305326/,Nathanael Saleh,/name/nm8127149/,,,,,,,,,,,,,,,,,,,,,
14,Arthur Dayne,/character/ch0540097/,Luke Roberts,/name/nm1074361/,,,,,"['Howland Reed', 'Eddard Stark']",https://images-na.ssl-images-amazon.com/images/M/MV5BODczZDUxYmQtMzk1MC00ZTUwLTk1MjAtZDJlODViMWFhOGU5XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BODczZDUxYmQtMzk1MC00ZTUwLTk1MjAtZDJlODViMWFhOGU5XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,['Aerys II Targaryen'],True,,,,,,,
15,Arya Stark,/character/ch0158604/,Maisie Williams,/name/nm3586035/,Stark,,"['Eddard Stark', 'Catelyn Stark']","['Robb Stark', 'Sansa Stark', 'Bran Stark', 'Rickon Stark']",,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5MTYwNDc0OF5BMl5BanBnXkFtZTcwOTg2NDg1Nw@@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5MTYwNDc0OF5BMl5BanBnXkFtZTcwOTg2NDg1Nw@@._V1_SY1000_CR0,0,665,1000_AL_.jpg",,"['Red Keep Stableboy', 'Frey Soldier #1', 'Polliver', 'Rorge', 'Ghita', 'Meryn Trant', 'The Waif', 'Black Walder Rivers', 'Lothar Frey', 'Walder Frey', 'Petyr Baelish', 'The Night King', 'White Walker', 'Viserion']",,,,,,['Nymeria'],,,,,,
16,Baby Sam,/character/ch0547881/,,,,,"['Samwell Tarly', 'Gilly']",,,,,,,,,,,,,"[{'actorName': 'William Wilson', 'actorLink': '/name/nm8251159/', 'seasonsActive': [7]}, {'actorName': 'James Wilson', 'actorLink': '/name/nm8251160/', 'seasonsActive': [7]}]",,,,,
17,Balon Greyjoy,/character/ch0292152/,Patrick Malahide,/name/nm0538869/,Greyjoy,,,"['Euron Greyjoy', 'Aeron Greyjoy']",['Euron Greyjoy'],https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNjkwODczN15BMl5BanBnXkFtZTcwODMwNTgzNw@@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNjkwODczN15BMl5BanBnXkFtZTcwODMwNTgzNw@@._V1_SY1000_CR0,0,637,1000_AL_.jpg",,,,"['Yara Greyjoy', 'Theon Greyjoy']",,,,,,,,,,
18,Baratheon Guard,/character/ch0350989/,Phil Barnhill,/name/nm4207240/,Baratheon,,,,,,,,,,,,,,,,,,,,
19,Barristan Selmy,/character/ch0241346/,Ian McElhinney,/name/nm0568400/,,,,,['Sons of the Harpy'],https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyMTE0NjUxNV5BMl5BanBnXkFtZTcwOTA1ODg5NA@@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyMTE0NjUxNV5BMl5BanBnXkFtZTcwOTA1ODg5NA@@._V1_SX1500_CR0,0,1500,999_AL_.jpg",,,,,,['Daenerys Targaryen'],,,,,,,,
20,Benjen Stark,/character/ch0153996/,Joseph Mawle,/name/nm1152798/,Stark,,['Rickard Stark'],"['Brandon Stark', 'Lyanna Stark', 'Eddard Stark']",['Wights'],https://images-na.ssl-images-amazon.com/images/M/MV5BMjFiY2M5MjgtZmRiMS00ZTAyLTk2Y2UtMjdjZTRkZmVlYTMyXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMjFiY2M5MjgtZmRiMS00ZTAyLTk2Y2UtMjdjZTRkZmVlYTMyXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,
21,Beric Dondarrion,/character/ch0305320/,,,,,,,"['Sandor Clegane', 'Wights']",https://images-na.ssl-images-amazon.com/images/M/MV5BMjQwMTEwNTg2MF5BMl5BanBnXkFtZTgwNTAxODYxOTE@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjQwMTEwNTg2MF5BMl5BanBnXkFtZTgwNTAxODYxOTE@._V1_SY1000_CR0,0,665,1000_AL_.jpg",,,,,,,,,"[{'actorName': 'Richard Dormer', 'actorLink': '/name/nm0233807/', 'seasonsActive': [3, 6, 7, 8]}, {'actorName': 'David Michael Scott', 'actorLink': '/name/nm2364108/', 'seasonsActive': [1]}]",,,,,
22,Bianca,/character/ch0541364/,Eline Powell,/name/nm4730958/,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BYWJhYjcxYzgtMDlhZi00OGNhLWE0NzAtMWFhMDJlYTZmYzY2XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BYWJhYjcxYzgtMDlhZi00OGNhLWE0NzAtMWFhMDJlYTZmYzY2XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,
23,Biter,/character/ch0305028/,Gerard Jordan,/name/nm0429956/,,,,,['Sandor Clegane'],https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ1ZWY3NTYtNmYzZS00ZDQyLThhMDItYTQyNmU0ZDg5NWViL2ltYWdlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_SY100_SX100_AL_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ1ZWY3NTYtNmYzZS00ZDQyLThhMDItYTQyNmU0ZDg5NWViL2ltYWdlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,
24,Black Lorren,/character/ch0266524/,Forbes KB,/name/nm1978998/,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BNjg5ZGZjZDUtZmJmNC00MjQ5LWJhZDAtOTc0MzYzNTNkMTZiXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNjg5ZGZjZDUtZmJmNC00MjQ5LWJhZDAtOTc0MzYzNTNkMTZiXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,
25,Black Walder Rivers,/character/ch0014591/,Tim Plester,/name/nm1043031/,Frey,,['Walder Frey'],,['Arya Stark'],,,,['Catelyn Stark'],,,,,,,,,,,,
26,Bobono,/character/ch0541790/,Leigh Gill,/name/nm5279916/,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BZWRmNWVhNTctOGJlZC00ZjVlLThkY2MtODU3Y2I2Njc1YzZjL2ltYWdlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BZWRmNWVhNTctOGJlZC00ZjVlLThkY2MtODU3Y2I2Njc1YzZjL2ltYWdlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,
27,Bowen Marsh,/character/ch0305036/,Michael Condron,/name/nm1638006/,,,,,['Jon Snow'],https://images-na.ssl-images-amazon.com/images/M/MV5BNmRkMDYxYjQtYTBjZi00NDZlLThmNGMtYzlhNGI1ZDE5NTJmXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNmRkMDYxYjQtYTBjZi00NDZlLThmNGMtYzlhNGI1ZDE5NTJmXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,['Jon Snow'],,,,,,,,,,,,
28,Brandon Stark,,,,Stark,,['Rickard Stark'],"['Lyanna Stark', 'Benjen Stark', 'Eddard Stark']",['Aerys II Targaryen'],,,,,,,,,,,,,,,,
29,Bran Stark,/character/ch0234897/,Isaac Hempstead Wright,/name/nm3652842/,Stark,True,"['Eddard Stark', 'Catelyn Stark']","['Robb Stark', 'Sansa Stark', 'Arya Stark', 'Rickon Stark']",,https://images-na.ssl-images-amazon.com/images/M/MV5BMTA1NTg0NTI3MTBeQTJeQWpwZ15BbWU3MDEyNjg4OTQ@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTA1NTg0NTI3MTBeQTJeQWpwZ15BbWU3MDEyNjg4OTQ@._V1_SX1500_CR0,0,1500,999_AL_.jpg",,,,,,,,['Summer'],,,,,,
30,Brea,/character/ch0539337/,Gemita Samarra,/name/nm5106314/,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMzc4MjE3N15BMl5BanBnXkFtZTgwMDg0Njc5NTE@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMzc4MjE3N15BMl5BanBnXkFtZTgwMDg0Njc5NTE@._V1_SX1777_CR0,0,1777,999_AL_.jpg",,,,,,,,,,,,,,
31,Brienne of Tarth,/character/ch0254503/,Gwendoline Christie,/name/nm3729225/,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzNDY4NzgzOV5BMl5BanBnXkFtZTcwNDM5ODg4OQ@@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzNDY4NzgzOV5BMl5BanBnXkFtZTcwNDM5ODg4OQ@@._V1_.jpg,,"['Soldier Tom', 'Stannis Baratheon', 'Bolton Officer']",['Podrick Payne'],,,"['Renly Baratheon', 'Catelyn Stark', 'Sansa Stark', 'Bran Stark']",True,,,,,,,
32,Bronn,/character/ch0241345/,Jerome Flynn,/name/nm0283492/,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0MzI5MjY1OV5BMl5BanBnXkFtZTcwODM1ODg4OQ@@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0MzI5MjY1OV5BMl5BanBnXkFtZTcwODM1ODg4OQ@@._V1_.jpg,,"['Vardis Egen', 'Matthos Seaworth', 'Lead Dornish Guard']",,,['Lollys Stokeworth'],,,,,,,,,
33,Brother Ray,/character/ch0541878/,Ian McShane,/name/nm0574534/,,,,,['Lem Lemoncloak'],https://images-na.ssl-images-amazon.com/images/M/MV5BMTAwNjU5MTY3NzleQTJeQWpwZ15BbWU4MDIwODkwMTkx._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTAwNjU5MTY3NzleQTJeQWpwZ15BbWU4MDIwODkwMTkx._V1_SY1000_CR0,0,1502,1000_AL_.jpg",,,,,,,,,,,,,,
34,Brynden Tully,/character/ch0381563/,Clive Russell,/name/nm0751085/,Tully,,,['Hoster Tully'],,https://images-na.ssl-images-amazon.com/images/M/MV5BOTg5ZDIwOWUtMjQ1OS00YjgxLThmMDgtOWUwZjQ4MzE3ZDhlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BOTg5ZDIwOWUtMjQ1OS00YjgxLThmMDgtOWUwZjQ4MzE3ZDhlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,Blackfish,,,,,,,,,,,,,
35,Captain of the Archers,/character/ch0540864/,Michael Grennell,/name/nm1214477/,,,,,,,,,,,,,,,,,,,,,
36,Catelyn Stark,/character/ch0145135/,Michelle Fairley,/name/nm0265610/,"['Stark', 'Tully']",,['Hoster Tully'],"['Lysa Arryn', 'Edmure Tully']",['Black Walder Rivers'],https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2ODc4MTkxMV5BMl5BanBnXkFtZTcwNjM3MTg4OQ@@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2ODc4MTkxMV5BMl5BanBnXkFtZTcwNjM3MTg4OQ@@._V1_SY1000_CR0,0,915,1000_AL_.jpg",,['Joyeuse Erenford'],,"['Robb Stark', 'Sansa Stark', 'Arya Stark', 'Bran Stark', 'Rickon Stark']","['Eddard Stark', 'Brandon Stark']",,,,,,,,,
37,Catspaw Assassin,/character/ch0305046/,Lalor Roddy,/name/nm0734498/,,,,,['Summer'],,,,,,,,,,,,,,,,
38,Cersei Lannister,/character/ch0159526/,Lena Headey,/name/nm0372176/,"['Lannister', 'Baratheon']",True,['Tywin Lannister'],"['Jaime Lannister', 'Tyrion Lannister']",['Roof collapse'],"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgzNTAxNjExMl5BMl5BanBnXkFtZTcwMDEwNzI4OQ@@._V1._CR954,56,605,670._SX100_SY140_.jpg","https://images-na.ssl-images-amazon.com/images/M/MV5BMTgzNTAxNjExMl5BMl5BanBnXkFtZTcwMDEwNzI4OQ@@._V1._CR954,56,605,670_.jpg",,"['Lancel Lannister', 'High Sparrow', 'Loras Tyrell', 'Mace Tyrell', 'Margaery Tyrell', 'Kevan Lannister', 'Tyene Sand']",,"['Joffrey Baratheon', 'Myrcella Baratheon', 'Tommen Baratheon']",['Robert Baratheon'],,,,,,,,,
39,Child of the Forest,/character/ch0414315/,Alice Hewkin,/name/nm2456829/,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BOTdjYmYxNjctODU1OC00NzIwLTk0ODktNDc3NzA2MzRhYzIwXkEyXkFqcGdeQXVyNTcxMzMwNTA@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BOTdjYmYxNjctODU1OC00NzIwLTk0ODktNDc3NzA2MzRhYzIwXkEyXkFqcGdeQXVyNTcxMzMwNTA@._V1_.jpg,,,,,,,,,,,,,,
40,Citadel Maester,/character/ch0478670/,Frank Hvam,/name/nm0404809/,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3NDA1Nzc5Nl5BMl5BanBnXkFtZTgwMjIwNTgyOTE@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3NDA1Nzc5Nl5BMl5BanBnXkFtZTgwMjIwNTgyOTE@._V1_SY1000_CR0,0,1502,1000_AL_.jpg",,,,,,,,,,,,,,
41,Colen of Greenpools,/character/ch0350989/,Darren Killeen,/name/nm4007028/,,,,,,,,,,,,,,,,,,,,,
42,Craster,/character/ch0300218/,Robert Pugh,/name/nm0700059/,,,,,['Karl Tanner'],https://images-na.ssl-images-amazon.com/images/M/MV5BMzZiNjZiMGItNTQ2Yi00MGU3LWFjMTktNzlmNDFlYzA3MjY3XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMzZiNjZiMGItNTQ2Yi00MGU3LWFjMTktNzlmNDFlYzA3MjY3XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,
43,Daario Naharis,/character/ch0335040/,,,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BY2ExMDJmNzMtMDVmZi00MDNlLWI1NzYtOTkxOTdlOWU4YzE4XkEyXkFqcGdeQXVyNTcxMzMwNTA@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BY2ExMDJmNzMtMDVmZi00MDNlLWI1NzYtOTkxOTdlOWU4YzE4XkEyXkFqcGdeQXVyNTcxMzMwNTA@._V1_SY1000_CR0,0,665,1000_AL_.jpg",,"['Mero', 'Prendahl na Ghezn', 'Oznak zo Pahl', 'Mossador', 'Iggo', 'Akho']",,,,['Daenerys Targaryen'],,,"[{'actorName': 'Ed Skrein', 'actorLink': '/name/nm4534098/', 'seasonsActive': [3]}, {'actorName': 'Michiel Huisman', 'actorLink': '/name/nm0401264/', 'seasonsActive': [4, 5, 6]}]",,,,,
44,Daenerys Targaryen,/character/ch0158597/,Emilia Clarke,/name/nm3592338/,Targaryen,True,"['Aerys II Targaryen', 'Rhaella Targaryen']","['Rhaegar Targaryen', 'Viserys Targaryen']",['Jon Snow'],https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4MzIxMTQwMF5BMl5BanBnXkFtZTcwMzY2NDg1Nw@@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4MzIxMTQwMF5BMl5BanBnXkFtZTcwMzY2NDg1Nw@@._V1_SY1000_CR0,0,810,1000_AL_.jpg",,"['Khal Drogo', 'Mirri Maz Duur', 'Doreah', 'Xaro Xhoan Daxos', 'Khal Rhalko', 'Khal Brozho', 'Khal Qorro', 'Khal Forzho', 'Khal Moro', 'Dothraki Bloodrider #1', 'Dothraki Bloodrider #2', 'Randyll Tarly', 'Dickon Tarly', 'Eleanor', ""Eleanor's Daughter"", 'Lord Varys']","['Barristan Selmy', 'Daario Naharis', 'Grey Worm', 'Jorah Mormont', 'Missandei', 'Tyrion Lannister']",['Rhaego'],['Khal Drogo'],,,"['Drogon', 'Rhaegal', 'Viserion']",,,,,,
45,Dagmer Cleftjaw,/character/ch0304762/,Ralph Ineson,/name/nm0408591/,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BYWRlYzI5ZTQtODU0My00MWUyLWExNTMtNGQ4OTIwYzE2YzFiXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BYWRlYzI5ZTQtODU0My00MWUyLWExNTMtNGQ4OTIwYzE2YzFiXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,
46,Daisy,/character/ch0305015/,Maisie Dee,/name/nm3996678/,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BMDk2ODRhNzItOGZhNi00YTUyLThkMzctMDQ2Zjg5MzY1NTI2XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMDk2ODRhNzItOGZhNi00YTUyLThkMzctMDQ2Zjg5MzY1NTI2XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,
47,Davos Seaworth,/character/ch0255396/,Liam Cunningham,/name/nm0192377/,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BNTMwODc0NzI4Ml5BMl5BanBnXkFtZTcwNzY3NDk4OQ@@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNTMwODc0NzI4Ml5BMl5BanBnXkFtZTcwNzY3NDk4OQ@@._V1_.jpg,,,,['Matthos Seaworth'],,"['Stannis Baratheon', 'Jon Snow']",,,,,,,,
48,Dickon Tarly,/character/ch0541363/,,,,,"['Randyll Tarly', 'Melessa Tarly']","['Samwell Tarly', 'Talla Tarly']",['Daenerys Targaryen'],https://images-na.ssl-images-amazon.com/images/M/MV5BNzk1YjNlZGQtNTU0MC00OGZmLThhYTQtZDM1ZjI2OGNlZGQxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNzk1YjNlZGQtNTU0MC00OGZmLThhYTQtZDM1ZjI2OGNlZGQxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,"[{'actorName': 'Freddie Stroma', 'actorLink': '/name/nm2238815/', 'seasonsActive': [6]}, {'actorName': 'Tom Hopper', 'actorLink': '/name/nm2584392/', 'seasonsActive': [7]}]",,,,,
49,Dongo the Giant,/character/ch0510932/,Ian Whyte,/name/nm1613839/,,,,,"[""Night's Watchman""]",https://images-na.ssl-images-amazon.com/images/M/MV5BNTRjNGYxNWItYmRhNS00MDY3LWFmZTItMzYzNTEwMjg3YTA1XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNTRjNGYxNWItYmRhNS00MDY3LWFmZTItMzYzNTEwMjg3YTA1XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg,,,,,,,,,,,,,,
50,Donnel Waynwood,/character/ch0544229/,Alisdair Simpson,/name/nm1368037/,,,,,,,,,,,,,,,,,,,,,
51,Dontos Hollard,/character/ch0305031/,Tony Way,/name/nm0915453/,,,,,['Petyr Baelish'],https://images-na.ssl-images-amazon.com/images/M/MV5BNzUzYzg5NGUtOWE5Zi00Y2MwLTg2YzQtMDZlOWE1NDZjZmFkXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNzUzYzg5NGUtOWE5Zi00Y2MwLTg2YzQtMDZlOWE1NDZjZmFkXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,
52,Doran Martell,/character/ch0468006/,Alexander Siddig,/name/nm0796502/,Martell,,,"['Elia Martell', 'Oberyn Martell']",['Ellaria Sand'],https://images-na.ssl-images-amazon.com/images/M/MV5BZWU5NzJkNWMtYTM4MS00YmE2LWExYmItNDNiOTE3YzI5YzAxXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BZWU5NzJkNWMtYTM4MS00YmE2LWExYmItNDNiOTE3YzI5YzAxXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SY1000_CR0,0,913,1000_AL_.jpg",,,,['Trystane Martell'],,,,,,,,,,
